Year,G,PA,Attempts,Success,P_attempt,nonP_attempt,P_success,nonP_success,LateClose,HighLI,nonP_7end_0out_attempts,AvgLI,WPA_total,PctGood,PA_nonP_close_1xx_12x_0out,attempts_nonP_close_1xx_12x_0out,SBOpps,SB,CS,SB2,CS2,SB3,CS3,SBH,CSH,Pickoff,PickoffCS
2019,4858,186516,1338,776,706,632,431,345,196,618,269,1.62,-13.5,0.246575342,4687,241,66564,2280,832,1970,717,293,79,17,36,319,149
2018,4862,185139,1452,823,703,749,409,414,237,733,314,1.66,-13.6,0.260416667,4880,277,66244,2474,958,2129,835,330,96,15,27,350,137
2017,4860,185295,1545,925,748,797,469,456,232,721,361,1.6,-16.6,0.226415094,4803,283,66866,2527,934,2133,796,381,116,13,22,347,147
2016,4856,184578,1716,1025,751,965,449,576,271,858,415,1.66,-17.4,0.263157895,4919,353,66195,2537,1001,2150,874,373,108,14,19,343,150
2015,4858,183627,1948,1200,807,1141,488,712,331,978,509,1.7,-20.1,0.291139241,4905,438,65674,2505,1064,2133,932,364,108,8,24,367,165
2014,4860,183928,2113,1343,910,1203,558,785,424,1116,569,1.79,-19,0.242937853,5156,510,66468,2764,1035,2383,894,373,121,8,20,363,171
2013,4862,184872,2114,1383,863,1251,559,824,486,1165,654,1.85,-20.7,0.238636364,5195,567,66940,2693,1007,2320,894,361,96,12,17,348,174
2012,4860,184179,2303,1479,961,1342,623,856,401,1156,600,1.71,-23.5,0.227272727,4636,511,66082,3229,1136,2745,988,471,111,13,37,421,238
2011,4858,185245,2510,1667,946,1564,636,1031,551,1410,765,1.86,-23.7,0.266990291,5034,700,67622,3279,1261,2839,1101,426,125,14,35,445,254
2010,4860,185553,2343,1544,943,1400,613,931,432,1190,644,1.73,-21.3,0.271276596,4925,574,68337,2959,1129,2593,977,353,121,13,31,376,198
2009,4860,187079,2402,1635,969,1433,671,964,438,1165,681,1.68,-24.5,0.299435028,4943,571,69405,2970,1133,2540,978,415,121,15,34,387,217
2008,4856,187631,2339,1526,966,1373,631,895,445,1187,670,1.71,-28.6,0.256684492,5047,577,69975,2799,1035,2376,882,408,121,15,32,337,189
2007,4862,188623,2299,1540,916,1383,626,914,419,1132,648,1.68,-26.7,0.298913043,4846,586,70863,2918,1002,2542,851,368,124,8,27,324,151
2006,4858,188071,2446,1651,971,1475,669,982,461,1166,714,1.65,-27.9,0.211538462,4745,578,69988,2767,1110,2396,948,360,130,11,32,348,195
2005,4862,186294,2485,1620,907,1578,570,1050,520,1244,793,1.74,-28.3,0.242857143,5088,626,69170,2565,1069,2225,926,327,105,13,38,374,195
2004,4856,188541,2574,1731,921,1653,608,1123,499,1270,767,1.71,-29.5,0.266990291,5042,668,70422,2589,1100,2250,954,331,115,8,31,359,201
2003,4860,187460,2498,1626,893,1605,585,1041,478,1231,757,1.7,-25.8,0.275700935,4904,682,69821,2573,1132,2244,985,320,106,9,41,370,213
2002,4852,186632,2205,1633,765,1440,580,1053,428,1128,664,1.77,-10.7,0.23923445,4919,607,68976,2750,1282,2429,1084,313,163,8,35,363,182
2001,4858,186976,2054,1607,731,1323,587,1020,378,968,608,1.66,-9.6,0.21875,4753,497,68674,3103,1408,2656,1202,430,150,17,56,455,245
2000,4858,190261,2069,1628,791,1278,625,1003,385,982,609,1.68,-19.8,0.24742268,4956,486,72468,2924,1323,2567,1143,339,140,18,40,405,230
1999,4856,189692,2392,1604,946,1446,638,966,453,1144,719,1.69,-24.2,0.244565217,5002,603,72393,3421,1519,2975,1317,425,156,21,46,455,233
1998,4864,188284,2518,1705,944,1574,637,1068,538,1307,780,1.76,-22.2,0.248780488,5212,716,70417,3284,1505,2829,1300,436,155,19,50,347,156
1997,4532,175541,2303,1577,793,1510,531,1046,513,1160,728,1.74,-22.8,0.274509804,4827,647,65902,3308,1564,2843,1309,446,181,19,74,462,258
1996,4534,177261,2351,1544,836,1515,559,985,546,1211,763,1.75,-29.7,0.224719101,4790,646,66742,3239,1343,2748,1134,454,156,38,53,395,201
1995,4034,156703,2205,1489,777,1428,526,963,479,1079,695,1.73,-26.5,0.303191489,4163,624,58975,2933,1257,2449,1074,459,148,24,35,414,229
1994,3200,124483,1768,1207,610,1158,422,785,348,842,540,1.67,-23.9,0.279069767,3179,474,46790,2258,1032,1931,889,319,111,8,32,326,161
1993,4538,174564,2636,1810,848,1788,597,1213,590,1367,892,1.75,-25.5,0.291139241,4695,737,65253,3263,1660,2807,1425,439,178,17,57,284,83
1992,4212,160545,2348,1665,698,1650,475,1190,549,1302,789,1.85,-10.6,0.32718894,4568,719,59366,3264,1601,2832,1393,407,147,25,61,234,0
1991,4208,160746,2298,1625,633,1665,453,1172,532,1230,813,1.82,-13.6,0.325242718,4344,723,59215,3120,1567,2693,1357,411,143,16,67,213,3
1990,4210,160316,2283,1559,683,1600,478,1081,508,1218,754,1.8,-16.7,0.319796954,4359,709,59273,3290,1510,2865,1305,413,150,12,55,453,241
1989,4212,160033,2376,1626,642,1734,440,1186,525,1236,806,1.8,-18,0.316037736,4271,708,58784,3116,1441,2710,1228,381,138,25,75,433,231
1988,4200,159380,2372,1630,716,1656,480,1150,522,1304,775,1.81,-19.2,0.324324324,4238,687,57798,3301,1418,2921,1225,356,130,24,63,370,142
1987,4210,161922,2004,1455,620,1384,446,1009,438,1015,647,1.74,-20.4,0.287878788,4178,572,59712,3585,1529,3224,1305,345,160,16,64,317,109
1986,4206,160858,2117,1515,587,1530,434,1081,516,1139,753,1.82,-19.6,0.375,4346,661,59347,3312,1620,2975,1388,319,145,18,87,270,48
1985,4206,160320,1924,1549,552,1372,468,1081,461,1007,652,1.79,-6.2,0.349056604,4305,581,59068,3097,1431,2775,1242,297,117,25,72,303,100
1984,4210,160566,1569,1435,435,1134,402,1033,426,912,600,1.89,-5.6,0.306220096,4364,518,59687,3032,1511,2752,1351,256,100,22,60,312,83
1983,4218,160615,1796,1561,558,1238,469,1092,462,964,630,1.82,-8.8,0.333333333,4224,536,59497,3325,1619,3031,1413,280,123,14,83,485,231
1982,4214,161104,2066,1740,547,1519,471,1269,536,1129,758,1.86,-9.3,0.329166667,4149,707,59455,3176,1617,2880,1443,278,123,18,51,455,215
1981,2788,105892,1563,1252,353,1210,294,958,403,862,587,1.88,-5,0.340101523,2838,558,39242,2021,1100,1885,977,122,80,14,43,305,154
1980,4210,161210,2375,1883,575,1800,461,1422,578,1259,828,1.83,-9.6,0.333333333,4194,792,59909,3294,1610,3035,1380,234,142,25,88,407,183
1979,4198,160378,2438,1896,547,1891,423,1473,545,1276,812,1.79,-11.2,0.334661355,4400,858,60117,2983,1598,2756,1428,213,114,14,55,420,207
