"","Player.ID","Last.Name","First.Name","Bats","Pitches","Team","V7"
"1","alvaj001","Alvarez","Jose","R","R","ATL","P"
"2","bedrs001","Bedrosian","Steve","R","R","ATL","P"
"3","beneb001","Benedict","Bruce","R","R","ATL","C"
"4","boggt001","Boggs","Tommy","R","R","ATL","P"
"5","butlb001","Butler","Brett","L","L","ATL","OF"
"6","campr001","Camp","Rick","R","R","ATL","P"
"7","chamc001","Chambliss","Chris","L","R","ATL","1B"
"8","cowlj001","Cowley","Joe","R","R","ATL","P"
"9","daylk001","Dayley","Ken","L","L","ATL","P"
"10","diazc001","Diaz","Carlos","R","L","ATL","P"
"11","garbg001","Garber","Gene","R","R","ATL","P"
"12","halla001","Hall","Albert","B","R","ATL","PR"
"13","hannp101","Hanna","Preston","R","R","ATL","P"
"14","harpt001","Harper","Terry","R","R","ATL","OF"
"15","haust101","Hausman","Tom","R","R","ATL","P"
"16","hornb001","Horner","Bob","R","R","ATL","3B"
"17","hraba101","Hrabosky","Al","R","L","ATL","P"
"18","hubbg001","Hubbard","Glenn","R","R","ATL","2B"
"19","johnr001","Johnson","Randy","R","R","ATL","2B"
"20","linar001","Linares","Rufino","R","R","ATL","OF"
"21","mahlr001","Mahler","Rick","R","R","ATL","P"
"22","mcwil001","McWilliams","Larry","L","L","ATL","P"
"23","moord001","Moore","Donnie","L","R","ATL","P"
"24","murpd001","Murphy","Dale","R","R","ATL","OF"
"25","niekp001","Niekro","Phil","R","R","ATL","P"
"26","owenl001","Owen","Larry","R","R","ATL","C"
"27","perep001","Perez","Pascual","R","R","ATL","P"
"28","pocob001","Pocoroba","Biff","B","R","ATL","C"
"29","portb101","Porter","Bob","L","L","ATL","OF"
"30","ramir001","Ramirez","Rafael","R","R","ATL","SS"
"31","roysj001","Royster","Jerry","R","R","ATL","3B"
"32","rungp001","Runge","Paul","R","R","ATL","PH"
"33","sinam001","Sinatro","Matt","R","R","ATL","C"
"34","smitk102","Smith","Ken","L","R","ATL","1B"
"35","walkb001","Walk","Bob","R","R","ATL","P"
"36","washc001","Washington","Claudell","L","L","ATL","OF"
"37","watsb001","Watson","Bob","R","R","ATL","1B"
"38","whisl101","Whisenton","Larry","L","L","ATL","OF"
"39","zuvep001","Zuvella","Paul","R","R","ATL","SS"
"40","ayalb001","Ayala","Benny","R","R","BAL","OF"
