"","Player.ID","Last.Name","First.Name","Bats","Pitches","Team","V7"
"1","ackej001","Acker","Jim","R","R","ATL","P"
"2","alexd001","Alexander","Doyle","R","R","ATL","P"
"3","assep001","Assenmacher","Paul","L","L","ATL","P"
"4","beneb001","Benedict","Bruce","R","R","ATL","C"
"5","chamc001","Chambliss","Chris","L","R","ATL","1B"
"6","dedmj001","Dedmon","Jeff","L","R","ATL","P"
"7","garbg001","Garber","Gene","R","R","ATL","P"
"8","grifk001","Griffey","Ken","L","L","ATL","OF"
"9","halla001","Hall","Albert","B","R","ATL","OF"
"10","harpt001","Harper","Terry","R","R","ATL","OF"
"11","hornb001","Horner","Bob","R","R","ATL","1B"
"12","hubbg001","Hubbard","Glenn","R","R","ATL","2B"
"13","johnj003","Johnson","Joe","R","R","ATL","P"
"14","kommb001","Komminsk","Brad","R","R","ATL","3B"
"15","mahlr001","Mahler","Rick","R","R","ATL","P"
"16","mcmuc001","McMurtry","Craig","R","R","ATL","P"
"17","moreo001","Moreno","Omar","L","L","ATL","OF"
"18","motld001","Motley","Darryl","R","R","ATL","OF"
"19","murpd001","Murphy","Dale","R","R","ATL","OF"
"20","oberk001","Oberkfell","Ken","L","R","ATL","3B"
"21","olwie001","Olwine","Ed","R","L","ATL","P"
"22","palmd001","Palmer","David","R","R","ATL","P"
"23","perrg001","Perry","Gerald","L","R","ATL","OF"
"24","pulec001","Puleo","Charlie","R","R","ATL","P"
"25","ramir001","Ramirez","Rafael","R","R","ATL","SS"
"26","rungp001","Runge","Paul","R","R","ATL","2B"
"27","sampb001","Sample","Billy","R","R","ATL","OF"
"28","shies001","Shields","Steve","R","R","ATL","P"
"29","simmt001","Simmons","Ted","B","R","ATL","1B"
"30","smitz001","Smith","Zane","L","L","ATL","P"
"31","specc001","Speck","Cliff","R","R","ATL","P"
"32","suttb001","Sutter","Bruce","R","R","ATL","P"
"33","thoma001","Thomas","Andres","R","R","ATL","SS"
"34","virgo001","Virgil","Ozzie","R","R","ATL","C"
"35","wardd001","Ward","Duane","R","R","ATL","P"
"36","washc001","Washington","Claudell","L","L","ATL","OF"
"37","aased001","Aase","Don","R","R","BAL","P"
"38","arnot001","Arnold","Tony","R","R","BAL","P"
"39","belle001","Bell","Eric","L","L","BAL","P"
"40","benij001","Beniquez","Juan","R","R","BAL","OF"
"41","boddm001","Boddicker","Mike","R","R","BAL","P"
"42","bonij001","Bonilla","Juan","R","R","BAL","2B"
"43","bordr001","Bordi","Rich","R","R","BAL","P"
"44","davis001","Davis","Storm","R","R","BAL","P"
"45","dempr001","Dempsey","Rick","R","R","BAL","C"
"46","dixok001","Dixon","Ken","B","R","BAL","P"
"47","doddt001","Dodd","Tom","R","R","BAL","DH"
"48","dwyej001","Dwyer","Jim","L","L","BAL","DH"
"49","flanm001","Flanagan","Mike","L","L","BAL","P"
"50","gerhk001","Gerhart","Ken","R","R","BAL","OF"
"51","gutij001","Gutierrez","Jackie","R","R","BAL","2B"
"52","habyj001","Habyan","John","R","R","BAL","P"
"53","haveb001","Havens","Brad","L","L","BAL","P"
"54","hudlr001","Hudler","Rex","R","R","BAL","2B"
"55","joneo001","Jones","Odell","R","R","BAL","P"
"56","joner003","Jones","Ricky","R","R","BAL","2B"
"57","kinnm001","Kinnunen","Mike","L","L","BAL","P"
"58","lacyl001","Lacy","Lee","R","R","BAL","OF"
"59","lynnf001","Lynn","Fred","L","L","BAL","OF"
"60","martd001","Martinez","Dennis","R","R","BAL","P"
"61","martt001","Martinez","Tippy","L","L","BAL","P"
"62","mcgrs001","McGregor","Scott","B","L","BAL","P"
"63","murre001","Murray","Eddie","B","R","BAL","1B"
"64","nichc001","Nichols","Carl","R","R","BAL","C"
"65","omalt001","O'Malley","Tom","L","R","BAL","3B"
"66","parda001","Pardo","Al","B","R","BAL","C"
"67","parik001","Paris","Kelly","R","R","BAL","3B"
"68","rayff001","Rayford","Floyd","R","R","BAL","3B"
