"","Player.ID","Last.Name","First.Name","Bats","Pitches","Team","V7"
"1","avers001","Avery","Steve","L","L","ATL","P"
"2","bedrs001","Bedrosian","Steve","R","R","ATL","P"
"3","bellr001","Belliard","Rafael","R","R","ATL","SS"
"4","blauj001","Blauser","Jeff","R","R","ATL","SS"
"5","borbp001","Borbon","Pedro","R","L","ATL","P"
"6","clart001","Clark","Terry","R","R","ATL","P"
"7","clonb001","Clontz","Brad","R","R","ATL","P"
"8","devem001","Devereaux","Mike","R","R","ATL","OF"
"9","giove001","Giovanola","Ed","L","R","ATL","2B"
"10","glavt001","Glavine","Tom","L","L","ATL","P"
"11","grism001","Grissom","Marquis","R","R","ATL","OF"
"12","jonec004","Jones","Chipper","B","R","ATL","3B"
"13","justd001","Justice","David","L","L","ATL","OF"
"14","kellm001","Kelly","Mike","R","R","ATL","OF"
"15","klesr001","Klesko","Ryan","L","L","ATL","OF"
"16","kowib001","Kowitz","Brian","L","L","ATL","OF"
"17","lemkm001","Lemke","Mark","B","R","ATL","2B"
"18","lopej001","Lopez","Javy","R","R","ATL","C"
"19","maddg002","Maddux","Greg","R","R","ATL","P"
"20","may-d002","May","Darrell","L","L","ATL","P"
"21","mcgrf001","McGriff","Fred","L","L","ATL","1B"
"22","mcmig001","McMichael","Greg","R","R","ATL","P"
"23","merck001","Mercker","Kent","L","L","ATL","P"
"24","mordm001","Mordecai","Mike","R","R","ATL","2B"
"25","murrm001","Murray","Matt","L","R","ATL","P"
"26","nichr002","Nichols","Rod","R","R","ATL","P"
"27","obric001","O'Brien","Charlie","R","R","ATL","C"
"28","olivj002","Oliva","Jose","R","R","ATL","3B"
"29","penaa001","Pena","Alejandro","R","R","ATL","P"
"30","peree002","Perez","Eddie","R","R","ATL","C"
"31","polol001","Polonia","Luis","L","L","ATL","OF"
"32","schmj001","Schmidt","Jason","R","R","ATL","P"
"33","sharm001","Sharperson","Mike","R","R","ATL","3B"
"34","smitd003","Smith","Dwight","L","R","ATL","OF"
"35","smolj001","Smoltz","John","R","R","ATL","P"
"36","stanm003","Stanton","Mike","L","L","ATL","P"
"37","thobt001","Thobe","Tom","L","L","ATL","P"
"38","wadet001","Wade","Terrell","L","L","ATL","P"
"39","wohlm001","Wohlers","Mark","R","R","ATL","P"
"40","woodb002","Woodall","Brad","B","L","ATL","P"
"41","alexm001","Alexander","Manny","R","R","BAL","2B"
"42","andeb001","Anderson","Brady","L","L","BAL","OF"
"43","bainh001","Baines","Harold","L","L","BAL","DH"
"44","barbb001","Barberie","Bret","B","R","BAL","2B"
"45","bassk001","Bass","Kevin","B","R","BAL","OF"
"46","benia001","Benitez","Armando","R","R","BAL","P"
"47","bonib001","Bonilla","Bobby","B","R","BAL","OF"
"48","boroj001","Borowski","Joe","R","R","BAL","P"
"49","browj002","Brown","Jarvis","R","R","BAL","OF"
"50","browk001","Brown","Kevin","R","R","BAL","P"
"51","bufod001","Buford","Damon","R","R","BAL","OF"
"52","clart001","Clark","Terry","R","R","BAL","P"
"53","dedrj001","Dedrick","Jim","B","R","BAL","P"
