"","Player.ID","Last.Name","First.Name","Bats","Pitches","Team","V7"
"1","barkl001","Barker","Len","R","R","ATL","P"
"2","bedrs001","Bedrosian","Steve","R","R","ATL","P"
"3","beneb001","Benedict","Bruce","R","R","ATL","C"
"4","campr001","Camp","Rick","R","R","ATL","P"
"5","ceror001","Cerone","Rick","R","R","ATL","C"
"6","chamc001","Chambliss","Chris","L","R","ATL","1B"
"7","dedmj001","Dedmon","Jeff","L","R","ATL","P"
"8","forst001","Forster","Terry","L","L","ATL","P"
"9","garbg001","Garber","Gene","R","R","ATL","P"
"10","halla001","Hall","Albert","B","R","ATL","OF"
"11","harpt001","Harper","Terry","R","R","ATL","OF"
"12","hornb001","Horner","Bob","R","R","ATL","1B"
"13","hubbg001","Hubbard","Glenn","R","R","ATL","2B"
"14","johnj003","Johnson","Joe","R","R","ATL","P"
"15","kommb001","Komminsk","Brad","R","R","ATL","OF"
"16","mahlr001","Mahler","Rick","R","R","ATL","P"
"17","mcmuc001","McMurtry","Craig","R","R","ATL","P"
"18","murpd001","Murphy","Dale","R","R","ATL","OF"
"19","oberk001","Oberkfell","Ken","L","R","ATL","3B"
"20","owenl001","Owen","Larry","R","R","ATL","C"
"21","perep001","Perez","Pascual","R","R","ATL","P"
"22","perrg001","Perry","Gerald","L","R","ATL","1B"
"23","rabbj001","Rabb","John","R","R","ATL","OF"
"24","ramir001","Ramirez","Rafael","R","R","ATL","SS"
"25","rungp001","Runge","Paul","R","R","ATL","3B"
"26","schud002","Schuler","Dave","R","L","ATL","P"
"27","shies001","Shields","Steve","R","R","ATL","P"
"28","smitz001","Smith","Zane","L","L","ATL","P"
"29","suttb001","Sutter","Bruce","R","R","ATL","P"
"30","thoma001","Thomas","Andres","R","R","ATL","SS"
"31","thomm001","Thompson","Milt","L","R","ATL","OF"
"32","washc001","Washington","Claudell","L","L","ATL","OF"
"33","zuvep001","Zuvella","Paul","R","R","ATL","2B"
"34","aased001","Aase","Don","R","R","BAL","P"
"35","belle001","Bell","Eric","L","L","BAL","P"
"36","boddm001","Boddicker","Mike","R","R","BAL","P"
"37","connf001","Connally","Fritzie","R","R","BAL","3B"
"38","dauer001","Dauer","Rich","R","R","BAL","2B"
"39","davis001","Davis","Storm","R","R","BAL","P"
"40","dempr001","Dempsey","Rick","R","R","BAL","C"
"41","dixok001","Dixon","Ken","B","R","BAL","P"
"42","dwyej001","Dwyer","Jim","L","L","BAL","OF"
"43","flanm001","Flanagan","Mike","L","L","BAL","P"
"44","fordd001","Ford","Dan","R","R","BAL","DH"
"45","grosw001","Gross","Wayne","L","R","BAL","3B"
"46","habyj001","Habyan","John","R","R","BAL","P"
"47","haveb001","Havens","Brad","L","L","BAL","P"
"48","hernl002","Hernandez","Leo","R","R","BAL","DH"
"49","huffp001","Huffman","Phil","R","R","BAL","P"
"50","lacyl001","Lacy","Lee","R","R","BAL","OF"
"51","lowej001","Lowenstein","John","L","R","BAL","DH"
"52","lynnf001","Lynn","Fred","L","L","BAL","OF"
"53","martd001","Martinez","Dennis","R","R","BAL","P"
"54","martt001","Martinez","Tippy","L","L","BAL","P"
"55","mcgrs001","McGregor","Scott","B","L","BAL","P"
"56","murre001","Murray","Eddie","B","R","BAL","1B"
"57","nolaj001","Nolan","Joe","L","R","BAL","C"
"58","omalt001","O'Malley","Tom","L","R","BAL","3B"
"59","parda001","Pardo","Al","B","R","BAL","C"
"60","parik001","Paris","Kelly","R","R","BAL","2B"
"61","rayff001","Rayford","Floyd","R","R","BAL","3B"
"62","ripkc001","Ripken","Cal","R","R","BAL","SS"
"63","roeng001","Roenicke","Gary","R","R","BAL","OF"
"64","sakal001","Sakata","Lenn","R","R","BAL","2B"
"65","sheel001","Sheets","Larry","L","R","BAL","DH"
"66","shelj001","Shelby","John","B","R","BAL","OF"
"67","sneln001","Snell","Nate","R","R","BAL","P"
"68","stews001","Stewart","Sammy","R","R","BAL","P"
"69","swagb001","Swaggerty","Bill","R","R","BAL","P"
"70","wigga001","Wiggins","Alan","B","R","BAL","2B"
"71","younm002","Young","Mike","B","R","BAL","OF"
"72","armat001","Armas","Tony","R","R","BOS","OF"
"73","barrm001","Barrett","Marty","R","R","BOS","2B"
"74","boggw001","Boggs","Wade","L","R","BOS","3B"
"75","boydo001","Boyd","Oil Can","R","R","BOS","P"
"76","browm003","Brown","Mike","R","R","BOS","P"
"77","buckb001","Buckner","Bill","L","L","BOS","1B"
"78","cleam001","Clear","Mark","R","R","BOS","P"
"79","clemr001","Clemens","Roger","R","R","BOS","P"
"80","craws001","Crawford","Steve","R","R","BOS","P"
"81","dorsj001","Dorsey","Jim","R","R","BOS","P"
"82","easlm001","Easler","Mike","L","R","BOS","DH"
"83","evand002","Evans","Dwight","R","R","BOS","OF"
"84","gedmr001","Gedman","Rich","L","R","BOS","C"
"85","greem001","Greenwell","Mike","L","R","BOS","OF"
