"","Player.ID","Last.Name","First.Name","Bats","Pitches","Team","V7"
"1","avers001","Avery","Steve","L","L","ATL","P"
"2","bedrs001","Bedrosian","Steve","R","R","ATL","P"
"3","bellr001","Belliard","Rafael","R","R","ATL","SS"
"4","bielm001","Bielecki","Mike","R","R","ATL","P"
"5","blauj001","Blauser","Jeff","R","R","ATL","SS"
"6","browj002","Brown","Jarvis","R","R","ATL","OF"
"7","galld001","Gallagher","Dave","R","R","ATL","OF"
"8","glavt001","Glavine","Tom","L","L","ATL","P"
"9","hillm002","Hill","Milt","R","R","ATL","P"
"10","justd001","Justice","David","L","L","ATL","OF"
"11","kellb002","Kelly","Roberto","R","R","ATL","OF"
"12","kellm001","Kelly","Mike","R","R","ATL","OF"
"13","klesr001","Klesko","Ryan","L","L","ATL","OF"
"14","lemkm001","Lemke","Mark","B","R","ATL","2B"
"15","lopej001","Lopez","Javy","R","R","ATL","C"
"16","maddg002","Maddux","Greg","R","R","ATL","P"
"17","mcgrf001","McGriff","Fred","L","L","ATL","1B"
"18","mcmig001","McMichael","Greg","R","R","ATL","P"
"19","merck001","Mercker","Kent","L","L","ATL","P"
"20","mordm001","Mordecai","Mike","R","R","ATL","SS"
"21","obric001","O'Brien","Charlie","R","R","ATL","C"
"22","olivj002","Oliva","Jose","R","R","ATL","3B"
"23","olsog001","Olson","Gregg","R","R","ATL","P"
"24","pecob001","Pecota","Bill","R","R","ATL","3B"
"25","pendt001","Pendleton","Terry","B","R","ATL","3B"
"26","sandd001","Sanders","Deion","L","L","ATL","OF"
"27","smolj001","Smoltz","John","R","R","ATL","P"
"28","stanm003","Stanton","Mike","L","L","ATL","P"
"29","tarat001","Tarasco","Tony","L","R","ATL","OF"
"30","wohlm001","Wohlers","Mark","R","R","ATL","P"
"31","woodb002","Woodall","Brad","B","L","ATL","P"
"32","andeb001","Anderson","Brady","L","L","BAL","OF"
"33","bainh001","Baines","Harold","L","L","BAL","DH"
"34","benia001","Benitez","Armando","R","R","BAL","P"
"35","boltt001","Bolton","Tom","L","L","BAL","P"
"36","bufod001","Buford","Damon","R","R","BAL","DH"
"37","devem001","Devereaux","Mike","R","R","BAL","OF"
"38","eichm001","Eichhorn","Mark","R","R","BAL","P"
"39","ferns001","Fernandez","Sid","L","L","BAL","P"
"40","gomel001","Gomez","Leo","R","R","BAL","3B"
"41","hammj001","Hammonds","Jeffrey","R","R","BAL","OF"
"42","hoilc001","Hoiles","Chris","R","R","BAL","C"
"43","hulet001","Hulett","Tim","R","R","BAL","2B"
"44","klins001","Klingenbeck","Scott","R","R","BAL","P"
"45","mcdob001","McDonald","Ben","R","R","BAL","P"
"46","mclem001","McLemore","Mark","B","R","BAL","2B"
"47","milla001","Mills","Alan","R","R","BAL","P"
"48","moyej001","Moyer","Jamie","L","L","BAL","P"
"49","mussm001","Mussina","Mike","L","R","BAL","P"
"50","oquim001","Oquist","Mike","R","R","BAL","P"
"51","palmr001","Palmeiro","Rafael","L","L","BAL","1B"
"52","pennb001","Pennington","Brad","L","L","BAL","P"
"53","poolj001","Poole","Jim","L","L","BAL","P"
