"","Player.ID","Last.Name","First.Name","Bats","Pitches","Team","V7"
"1","alicl001","Alicea","Luis","B","R","ANA","2B"
"2","andeg001","Anderson","Garret","L","L","ANA","OF"
"3","ariag001","Arias","George","R","R","ANA","3B"
"4","bovem001","Bovee","Mike","R","R","ANA","P"
"5","cadag001","Cadaret","Greg","L","L","ANA","P"
"6","chava001","Chavez","Anthony","R","R","ANA","P"
"7","delur001","DeLucia","Rich","R","R","ANA","P"
"8","dickj001","Dickson","Jason","L","R","ANA","P"
"9","disag001","Disarcina","Gary","R","R","ANA","SS"
"10","edmoj001","Edmonds","Jim","L","L","ANA","OF"
"11","eenhr001","Eenhoorn","Robert","R","R","ANA","3B"
"12","encaa001","Encarnacion","Angelo","R","R","ANA","C"
"13","erstd001","Erstad","Darin","L","L","ANA","1B"
"14","fabrj001","Fabregas","Jorge","L","R","ANA","C"
"15","finlc001","Finley","Chuck","L","L","ANA","P"
"16","grebc001","Grebeck","Craig","R","R","ANA","2B"
"17","greet003","Greene","Todd","R","R","ANA","C"
"18","grosk001","Gross","Kevin","R","R","ANA","P"
"19","gubim001","Gubicza","Mark","R","R","ANA","P"
"20","harrp001","Harris","Pep","R","R","ANA","P"
"21","hases001","Hasegawa","Shigetoshi","R","R","ANA","P"
"22","hendr001","Henderson","Rickey","R","L","ANA","DH"
"23","hillk001","Hill","Ken","R","R","ANA","P"
"24","holld001","Hollins","Dave","B","R","ANA","3B"
"25","holtm001","Holtz","Mike","L","L","ANA","P"
"26","howej002","Howell","Jack","L","R","ANA","3B"
"27","jamem001","James","Mike","R","R","ANA","P"
"28","kreuc001","Kreuter","Chad","B","R","ANA","C"
"29","langm001","Langston","Mark","R","L","ANA","P"
"30","leyrj001","Leyritz","Jim","R","R","ANA","C"
"31","may-d002","May","Darrell","L","L","ANA","P"
"32","mcelc001","McElroy","Chuck","L","L","ANA","P"
"33","murre001","Murray","Eddie","B","R","ANA","DH"
"34","palmo001","Palmeiro","Orlando","L","L","ANA","OF"
"35","perct001","Percival","Troy","R","R","ANA","P"
"36","perim001","Perisho","Matt","L","L","ANA","P"
"37","philt001","Phillips","Tony","B","R","ANA","2B"
"38","salmt001","Salmon","Tim","R","R","ANA","OF"
"39","sprid001","Springer","Dennis","R","R","ANA","P"
"40","turnc001","Turner","Chris","R","R","ANA","C"
"41","velar001","Velarde","Randy","R","R","ANA","PR"
"42","watsa001","Watson","Allen","L","L","ANA","P"
"43","wills001","Williams","Shad","R","R","ANA","P"
"44","bautd001","Bautista","Danny","R","R","ATL","OF"
"45","bellr001","Belliard","Rafael","R","R","ATL","SS"
"46","bielm001","Bielecki","Mike","R","R","ATL","P"
"47","blauj001","Blauser","Jeff","R","R","ATL","SS"
"48","boroj001","Borowski","Joe","R","R","ATL","P"
"49","brocc001","Brock","Chris","R","R","ATL","P"
"50","byrdp001","Byrd","Paul","R","R","ATL","P"
"51","cathm001","Cather","Mike","R","R","ATL","P"
"52","clonb001","Clontz","Brad","R","R","ATL","P"
"53","colbg001","Colbrunn","Greg","R","R","ATL","1B"
"54","embra001","Embree","Alan","L","L","ATL","P"
"55","fox-c001","Fox","Chad","R","R","ATL","P"
"56","giove001","Giovanola","Ed","L","R","ATL","3B"
"57","glavt001","Glavine","Tom","L","L","ATL","P"
"58","graft001","Graffanino","Tony","R","R","ATL","2B"
"59","gregt001","Gregg","Tommy","L","L","ATL","OF"
"60","jonea002","Jones","Andruw","R","R","ATL","OF"
"61","jonec004","Jones","Chipper","B","R","ATL","3B"
"62","klesr001","Klesko","Ryan","L","L","ATL","OF"
"63","lemkm001","Lemke","Mark","B","R","ATL","2B"
"64","leroj001","LeRoy","John","R","R","ATL","P"
"65","ligtk001","Ligtenberg","Kerry","R","R","ATL","P"
"66","lockk001","Lockhart","Keith","L","R","ATL","2B"
"67","loftk001","Lofton","Kenny","L","L","ATL","OF"
"68","lopej001","Lopez","Javy","R","R","ATL","C"
"69","maddg002","Maddux","Greg","R","R","ATL","P"
"70","mcgrf001","McGriff","Fred","L","L","ATL","1B"
"71","millk004","Millwood","Kevin","R","R","ATL","P"
"72","mordm001","Mordecai","Mike","R","R","ATL","3B"
"73","myerg001","Myers","Greg","L","R","ATL","C"
"74","neagd001","Neagle","Denny","L","L","ATL","P"
"75","peree002","Perez","Eddie","R","R","ATL","C"
"76","simor001","Simon","Randall","L","L","ATL","1B"
"77","smolj001","Smoltz","John","R","R","ATL","P"
"78","speht001","Spehr","Tim","R","R","ATL","C"
"79","tuckm001","Tucker","Michael","L","R","ATL","OF"
"80","wadet001","Wade","Terrell","L","L","ATL","P"
"81","wohlm001","Wohlers","Mark","R","R","ATL","P"
"82","alomr001","Alomar","Roberto","B","R","BAL","2B"
"83","andeb001","Anderson","Brady","L","L","BAL","OF"
"84","bainh001","Baines","Harold","L","L","BAL","DH"
"85","benia001","Benitez","Armando","R","R","BAL","P"
"86","berrg001","Berroa","Geronimo","R","R","BAL","DH"
"87","bordm001","Bordick","Mike","R","R","BAL","SS"
"88","bosks001","Boskie","Shawn","R","R","BAL","P"
"89","clybd001","Clyburn","Danny","R","R","BAL","OF"
"90","coppr001","Coppinger","Rocky","R","R","BAL","P"
"91","davie001","Davis","Eric","R","R","BAL","OF"
"92","delld001","Dellucci","David","L","L","BAL","OF"
"93","erics001","Erickson","Scott","R","R","BAL","P"
"94","greec002","Greene","Charlie","R","R","BAL","C"
"95","hammj001","Hammonds","Jeffrey","R","R","BAL","OF"
"96","hoilc001","Hoiles","Chris","R","R","BAL","C"
"97","incap001","Incaviglia","Pete","R","R","BAL","DH"
"98","johnm002","Johnson","Mike","L","R","BAL","P"
"99","kamis001","Kamieniecki","Scott","R","R","BAL","P"
"100","key-j001","Key","Jimmy","R","L","BAL","P"
"101","krivr001","Krivda","Rick","R","L","BAL","P"
"102","laket001","Laker","Tim","R","R","BAL","C"
"103","ledea001","Ledesma","Aaron","R","R","BAL","2B"
"104","matht001","Mathews","Terry","L","R","BAL","P"
"105","milla001","Mills","Alan","R","R","BAL","P"
"106","mussm001","Mussina","Mike","L","R","BAL","P"
"107","myerr001","Myers","Randy","L","L","BAL","P"
"108","orosj001","Orosco","Jesse","R","L","BAL","P"
"109","palmr001","Palmeiro","Rafael","L","L","BAL","1B"
"110","reboj001","Reboulet","Jeff","R","R","BAL","2B"
"111","rhoda001","Rhodes","Arthur","L","L","BAL","P"
"112","ripkc001","Ripken","Cal","R","R","BAL","3B"
"113","rodrn001","Rodriguez","Nerio","R","R","BAL","P"
"114","rosam001","Rosario","Melvin","B","R","BAL","C"
"115","surhb001","Surhoff","B.J.","L","R","BAL","OF"
"116","tarat001","Tarasco","Tony","L","R","BAL","OF"
"117","waltj001","Walton","Jerome","R","R","BAL","OF"
"118","websl001","Webster","Lenny","R","R","BAL","C"
"119","willb001","Williams","Brian","R","R","BAL","P"
"120","yan-e001","Yan","Esteban","R","R","BAL","P"
"121","avers001","Avery","Steve","L","L","BOS","P"
"122","benjm001","Benjamin","Mike","R","R","BOS","3B"
"123","borlt001","Borland","Toby","R","R","BOS","P"
"124","bragd001","Bragg","Darren","L","R","BOS","OF"
"125","branm002","Brandenburg","Mark","R","R","BOS","P"
"126","checr001","Checo","Robinson","R","R","BOS","P"
"127","colem001","Coleman","Michael","R","R","BOS","OF"
"128","cordw001","Cordero","Wil","R","R","BOS","OF"
"129","corsj001","Corsi","Jim","R","R","BOS","P"
"130","eshev001","Eshelman","Vaughn","L","L","BOS","P"
"131","fryej001","Frye","Jeff","R","R","BOS","2B"
"132","garcn001","Garciaparra","Nomar","R","R","BOS","SS"
"133","garcr001","Garces","Rich","R","R","BOS","P"
"134","gordt001","Gordon","Tom","R","R","BOS","P"
"135","grunk001","Grundt","Ken","L","L","BOS","P"
