"","Player.ID","Last.Name","First.Name","Bats","Pitches","Team","V7"
"1","avers001","Avery","Steve","L","L","ATL","P"
"2","bellr001","Belliard","Rafael","R","R","ATL","SS"
"3","berej001","Berenguer","Juan","R","R","ATL","P"
"4","berrd002","Berryhill","Damon","B","R","ATL","C"
"5","bielm001","Bielecki","Mike","R","R","ATL","P"
"6","blauj001","Blauser","Jeff","R","R","ATL","SS"
"7","borbp001","Borbon","Pedro","R","L","ATL","P"
"8","breas001","Bream","Sid","L","L","ATL","1B"
"9","cabrf001","Cabrera","Francisco","R","R","ATL","C"
"10","castv001","Castilla","Vinny","R","R","ATL","3B"
"11","davim001","Davis","Mark","L","L","ATL","P"
"12","freem001","Freeman","Marvin","R","R","ATL","P"
"13","gantr001","Gant","Ron","R","R","ATL","OF"
"14","glavt001","Glavine","Tom","L","L","ATL","P"
"15","gregt001","Gregg","Tommy","L","L","ATL","OF"
"16","huntb001","Hunter","Brian","R","L","ATL","1B"
"17","justd001","Justice","David","L","L","ATL","OF"
"18","klesr001","Klesko","Ryan","L","L","ATL","1B"
"19","leibc001","Leibrandt","Charlie","R","L","ATL","P"
"20","lemkm001","Lemke","Mark","B","R","ATL","2B"
"21","lopej001","Lopez","Javy","R","R","ATL","C"
"22","lyons001","Lyons","Steve","L","R","ATL","OF"
"23","merck001","Mercker","Kent","L","L","ATL","P"
"24","niedd001","Nied","David","R","R","ATL","P"
"25","nievm001","Nieves","Melvin","B","R","ATL","OF"
"26","nixoo001","Nixon","Otis","B","R","ATL","OF"
"27","olsog002","Olson","Greg","R","R","ATL","C"
"28","penaa001","Pena","Alejandro","R","R","ATL","P"
"29","pendt001","Pendleton","Terry","B","R","ATL","3B"
"30","rearj001","Reardon","Jeff","R","R","ATL","P"
"31","reyna001","Reynoso","Armando","R","R","ATL","P"
"32","riveb001","Rivera","Ben","R","R","ATL","P"
"33","sandd001","Sanders","Deion","L","L","ATL","OF"
"34","smitl002","Smith","Lonnie","R","R","ATL","OF"
"35","smitp001","Smith","Pete","R","R","ATL","P"
"36","smolj001","Smoltz","John","R","R","ATL","P"
"37","stanm003","Stanton","Mike","L","L","ATL","P"
"38","stclr001","St. Claire","Randy","R","R","ATL","P"
"39","treaj001","Treadway","Jeff","L","R","ATL","2B"
"40","willj001","Willard","Jerry","L","R","ATL","C"
"41","wohlm001","Wohlers","Mark","R","R","ATL","P"
"42","alexm001","Alexander","Manny","R","R","BAL","SS"
"43","andeb001","Anderson","Brady","L","L","BAL","OF"
"44","clemp001","Clements","Pat","R","L","BAL","P"
"45","davig001","Davis","Glenn","R","R","BAL","DH"
"46","davis001","Davis","Storm","R","R","BAL","P"
"47","dempr001","Dempsey","Rick","R","R","BAL","C"
"48","devem001","Devereaux","Mike","R","R","BAL","OF"
"49","flanm001","Flanagan","Mike","L","L","BAL","P"
"50","froht001","Frohwirth","Todd","R","R","BAL","P"
"51","gomel001","Gomez","Leo","R","R","BAL","3B"
"52","hoilc001","Hoiles","Chris","R","R","BAL","C"
"53","horns001","Horn","Sam","L","L","BAL","DH"
"54","hulet001","Hulett","Tim","R","R","BAL","3B"
"55","leffc001","Lefferts","Craig","L","L","BAL","P"
"56","lewir001","Lewis","Richie","R","R","BAL","P"
"57","martc003","Martinez","Chito","L","L","BAL","OF"
"58","mcdob001","McDonald","Ben","R","R","BAL","P"
"59","mclem001","McLemore","Mark","B","R","BAL","2B"
"60","mercl001","Mercedes","Luis","R","R","BAL","OF"
"61","mesaj001","Mesa","Jose","R","R","BAL","P"
"62","milab001","Milacki","Bob","R","R","BAL","P"
"63","milla001","Mills","Alan","R","R","BAL","P"
"64","millr002","Milligan","Randy","R","R","BAL","1B"
"65","mussm001","Mussina","Mike","L","R","BAL","P"
"66","olsog001","Olson","Gregg","R","R","BAL","P"
"67","orsuj001","Orsulak","Joe","L","L","BAL","OF"
"68","parem001","Parent","Mark","R","R","BAL","C"
"69","poolj001","Poole","Jim","L","L","BAL","P"
"70","rhoda001","Rhodes","Arthur","L","L","BAL","P"
"71","ripkb001","Ripken","Billy","R","R","BAL","2B"
"72","ripkc001","Ripken","Cal","R","R","BAL","SS"
"73","scars001","Scarsone","Steve","R","R","BAL","2B"
"74","segud001","Segui","David","B","L","BAL","1B"
"75","shiet001","Shields","Tommy","L","R","BAL","PR"
"76","sutcr001","Sutcliffe","Rick","L","R","BAL","P"
"77","tackj001","Tackett","Jeff","R","R","BAL","C"
"78","voigj001","Voigt","Jack","R","R","BAL","PR"
"79","willm004","Williamson","Mark","R","R","BAL","P"
"80","barrt002","Barrett","Tom","B","R","BOS","2B"
"81","boggw001","Boggs","Wade","L","R","BOS","3B"
"82","boltt001","Bolton","Tom","L","L","BOS","P"
"83","brumm001","Brumley","Mike","B","R","BOS","PH"
"84","brunt001","Brunansky","Tom","R","R","BOS","OF"
"85","burke001","Burks","Ellis","R","R","BOS","OF"
"86","clarj001","Clark","Jack","R","R","BOS","DH"
"87","clemr001","Clemens","Roger","R","R","BOS","P"
"88","coops001","Cooper","Scott","L","R","BOS","1B"
"89","darwd001","Darwin","Danny","R","R","BOS","P"
"90","dopsj001","Dopson","John","L","R","BOS","P"
"91","flahj001","Flaherty","John","R","R","BOS","C"
"92","fosst001","Fossas","Tony","L","L","BOS","P"
"93","gardm002","Gardiner","Mike","B","R","BOS","P"
"94","greem001","Greenwell","Mike","L","R","BOS","OF"
"95","harrg001","Harris","Greg","B","R","BOS","P"
"96","hatcb001","Hatcher","Billy","R","R","BOS","OF"
"97","heskj001","Hesketh","Joe","L","L","BOS","P"
"98","hoy-p001","Hoy","Peter","L","R","BOS","P"
"99","irvid001","Irvine","Daryl","R","R","BOS","P"
"100","lyons001","Lyons","Steve","L","R","BOS","1B"
"101","marzj001","Marzano","John","R","R","BOS","C"
"102","naeht001","Naehring","Tim","R","R","BOS","SS"
"103","penat001","Pena","Tony","R","R","BOS","C"
"104","planp001","Plantier","Phil","L","R","BOS","OF"
"105","quanp001","Quantrill","Paul","L","R","BOS","P"
"106","rearj001","Reardon","Jeff","R","R","BOS","P"
"107","reedj003","Reed","Jody","R","R","BOS","2B"
"108","rivel001","Rivera","Luis","R","R","BOS","SS"
"109","ryank001","Ryan","Ken","R","R","BOS","P"
"110","tayls001","Taylor","Scott","L","L","BOS","P"
"111","valej002","Valentin","John","R","R","BOS","SS"
"112","vaugm001","Vaughn","Mo","L","R","BOS","1B"
"113","violf001","Viola","Frank","L","L","BOS","P"
"114","wedge001","Wedge","Eric","R","R","BOS","DH"
"115","winnh001","Winningham","Herm","L","R","BOS","OF"
"116","younm001","Young","Matt","L","L","BOS","P"
"117","zupcb001","Zupcic","Bob","R","R","BOS","OF"
"118","abboj001","Abbott","Jim","L","L","CAL","P"
"119","bails001","Bailes","Scott","L","L","CAL","P"
"120","blylb001","Blyleven","Bert","R","R","CAL","P"
"121","brooh001","Brooks","Hubie","R","R","CAL","DH"
"122","butcm001","Butcher","Mike","R","R","CAL","P"
"123","crimc001","Crim","Chuck","R","R","CAL","P"
"124","curtc001","Curtis","Chad","R","R","CAL","OF"
"125","davia002","Davis","Alvin","L","R","CAL","1B"
"126","disag001","Disarcina","Gary","R","R","CAL","SS"
"127","duceb001","Ducey","Rob","L","R","CAL","OF"
"128","easld001","Easley","Damion","R","R","CAL","3B"
"129","eichm001","Eichhorn","Mark","R","R","CAL","P"
"130","felij001","Felix","Junior","B","R","CAL","OF"
"131","finlc001","Finley","Chuck","L","L","CAL","P"
"132","fitzm001","Fitzgerald","Mike","R","R","CAL","C"
"133","fortt001","Fortugno","Tim","L","L","CAL","P"
"134","freys001","Frey","Steve","R","L","CAL","P"
"135","gaetg001","Gaetti","Gary","R","R","CAL","3B"
"136","gonzj001","Gonzalez","Jose","R","R","CAL","OF"
"137","gonzr001","Gonzales","Rene","R","R","CAL","3B"
"138","grahj001","Grahe","Joe","R","R","CAL","P"
"139","harvb001","Harvey","Bryan","R","R","CAL","P"
"140","hathh001","Hathaway","Hilly","L","L","CAL","P"
"141","hayev001","Hayes","Von","L","R","CAL","OF"
"142","langm001","Langston","Mark","R","L","CAL","P"
"143","lewis001","Lewis","Scott","R","R","CAL","P"
"144","morrj003","Morris","John","L","L","CAL","OF"
"145","myerg001","Myers","Greg","L","R","CAL","C"
"146","oberk001","Oberkfell","Ken","L","R","CAL","2B"
"147","ortoj001","Orton","John","R","R","CAL","C"
"148","parrl001","Parrish","Lance","R","R","CAL","C"
"149","polol001","Polonia","Luis","L","L","CAL","OF"
"150","robid001","Robinson","Don","R","R","CAL","P"
"151","roseb001","Rose","Bobby","R","R","CAL","2B"
"152","salmt001","Salmon","Tim","R","R","CAL","OF"
"153","schod001","Schofield","Dick","R","R","CAL","SS"
"154","sojol001","Sojo","Luis","R","R","CAL","2B"
"155","stevl001","Stevens","Lee","L","L","CAL","1B"
"156","tingr001","Tingley","Ron","R","R","CAL","C"
"157","valej001","Valera","Julio","R","R","CAL","P"
"158","willr002","Williams","Reggie","B","R","CAL","OF"
"159","abnes001","Abner","Shawn","R","R","CHA","OF"
"160","alvaw001","Alvarez","Wilson","L","L","CHA","P"
"161","bellg001","Bell","George","R","R","CHA","DH"
"162","belte001","Beltre","Esteban","R","R","CHA","SS"
"163","coraj001","Cora","Joey","B","R","CHA","2B"
"164","cronc001","Cron","Chris","R","R","CHA","1B"
"165","drahb001","Drahman","Brian","R","R","CHA","P"
"166","dunnm001","Dunne","Mike","R","R","CHA","P"
"167","ferna001","Fernandez","Alex","R","R","CHA","P"
"168","fiskc001","Fisk","Carlton","R","R","CHA","C"
"169","grebc001","Grebeck","Craig","R","R","CHA","SS"
"170","guilo001","Guillen","Ozzie","L","R","CHA","SS"
"171","hemos001","Hemond","Scott","R","R","CHA","DH"
"172","hernr001","Hernandez","Roberto","R","R","CHA","P"
"173","hibbg001","Hibbard","Greg","L","L","CHA","P"
"174","hougc001","Hough","Charlie","R","R","CHA","P"
"175","huffm001","Huff","Mike","R","R","CHA","OF"
"176","jetes001","Jeter","Shawn","L","R","CHA","OF"
"177","johnl001","Johnson","Lance","L","L","CHA","OF"
"178","karkr001","Karkovice","Ron","R","R","CHA","C"
"179","leact001","Leach","Terry","R","R","CHA","P"
"180","mccak001","McCaskill","Kirk","R","R","CHA","P"
"181","mcdoj001","McDowell","Jack","R","R","CHA","P"
"182","merum001","Merullo","Matt","L","R","CHA","C"
"183","newsw001","Newson","Warren","L","L","CHA","OF"
"184","palld001","Pall","Donn","R","R","CHA","P"
"185","pasqd001","Pasqua","Dan","L","L","CHA","OF"
"186","radis001","Radinsky","Scott","L","L","CHA","P"
"187","raint001","Raines","Tim","B","R","CHA","OF"
"188","santn001","Santovenia","Nelson","R","R","CHA","C"
"189","sax-s001","Sax","Steve","R","R","CHA","2B"
"190","sveud001","Sveum","Dale","B","R","CHA","SS"
"191","thigb001","Thigpen","Bobby","R","R","CHA","P"
"192","thomf001","Thomas","Frank","R","R","CHA","1B"
"193","ventr001","Ventura","Robin","L","R","CHA","3B"
"194","ariaa001","Arias","Alex","R","R","CHN","SS"
"195","assep001","Assenmacher","Paul","L","L","CHN","P"
"196","bosks001","Boskie","Shawn","R","R","CHN","P"
"197","buecs001","Buechele","Steve","R","R","CHN","3B"
"198","bullj001","Bullinger","Jim","R","R","CHN","P"
"199","castf001","Castillo","Frank","R","R","CHN","P"
"200","danik001","Daniels","Kal","L","R","CHN","OF"
"201","dascd001","Dascenzo","Doug","B","L","CHN","OF"
"202","dawsa001","Dawson","Andre","R","R","CHN","OF"
"203","dunss001","Dunston","Shawon","R","R","CHN","SS"
"204","giraj001","Girardi","Joe","R","R","CHN","C"
"205","gracm001","Grace","Mark","L","L","CHN","1B"
"206","harkm001","Harkey","Mike","R","R","CHN","P"
"207","hartj001","Hartsock","Jeff","R","R","CHN","P"
"208","hollj001","Hollins","Jessie","R","R","CHN","P"
"209","jackd001","Jackson","Danny","R","L","CHN","P"
"210","kunkj001","Kunkel","Jeff","R","R","CHN","SS"
"211","maddg002","Maddux","Greg","R","R","CHN","P"
"212","may-d001","May","Derrick","L","R","CHN","OF"
"213","mcelc001","McElroy","Chuck","L","L","CHN","P"
"214","morgm001","Morgan","Mike","R","R","CHN","P"
"215","pattk001","Patterson","Ken","L","L","CHN","P"
"216","pedrj001","Pedre","Jorge","R","R","CHN","C"
"217","ramsf001","Ramsey","Fernando","R","R","CHN","OF"
"218","rasmd001","Rasmussen","Dennis","L","L","CHN","P"
"219","robij001","Robinson","Jeff","R","R","CHN","P"
"220","salal001","Salazar","Luis","R","R","CHN","3B"
"221","sancr001","Sanchez","Rey","R","R","CHN","SS"
"222","sandr001","Sandberg","Ryne","R","R","CHN","2B"
"223","scanb001","Scanlan","Bob","R","R","CHN","P"
"224","scotg001","Scott","Gary","R","R","CHN","3B"
"225","sloch001","Slocumb","Heathcliff","R","R","CHN","P"
"226","smitd001","Smith","Dave","R","R","CHN","P"
"227","smitd003","Smith","Dwight","L","R","CHN","OF"
"228","sosas001","Sosa","Sammy","R","R","CHN","OF"
"229","strad002","Strange","Doug","B","R","CHN","3B"
"230","villh001","Villanueva","Hector","R","R","CHN","C"
"231","vizcj001","Vizcaino","Jose","B","R","CHN","SS"
"232","walkc001","Walker","Chico","B","R","CHN","OF"
"233","waltj001","Walton","Jerome","R","R","CHN","OF"
"234","wilkr001","Wilkins","Rick","L","R","CHN","C"
"235","afent001","Afenir","Troy","R","R","CIN","C"
"236","ayalb002","Ayala","Bobby","R","R","CIN","P"
"237","banks001","Bankhead","Scott","R","R","CIN","P"
"238","belct001","Belcher","Tim","R","R","CIN","P"
"239","benaf001","Benavides","Freddie","R","R","CIN","2B"
"240","berrg001","Berroa","Geronimo","R","R","CIN","OF"
"241","boltt001","Bolton","Tom","L","L","CIN","P"
"242","brads001","Bradley","Scott","L","R","CIN","C"
"243","bragg001","Braggs","Glenn","R","R","CIN","OF"
