"","Player.ID","Last.Name","First.Name","Bats","Pitches","Team","V7"
"1","ameza001","Amezaga","Alfredo","B","R","ANA","SS"
"2","andeg001","Anderson","Garret","L","L","ANA","OF"
"3","appik001","Appier","Kevin","R","R","ANA","P"
"4","bellc001","Bellinger","Clay","R","R","ANA","1B"
"5","callm001","Callaway","Mickey","R","R","ANA","P"
"6","cookd001","Cook","Dennis","L","L","ANA","P"
"7","davaj001","DaVanon","Jeff","B","R","ANA","OF"
"8","donnb001","Donnelly","Brendan","R","R","ANA","P"
"9","ecksd001","Eckstein","David","R","R","ANA","SS"
"10","erstd001","Erstad","Darin","L","L","ANA","OF"
"11","fabrj001","Fabregas","Jorge","L","R","ANA","C"
"12","fasas001","Fasano","Sal","R","R","ANA","C"
"13","figgc001","Figgins","Chone","B","R","ANA","2B"
"14","fullb001","Fullmer","Brad","L","R","ANA","DH"
"15","gil-b001","Gil","Benji","R","R","ANA","2B"
"16","glaut001","Glaus","Troy","R","R","ANA","3B"
"17","kenna001","Kennedy","Adam","L","R","ANA","2B"
"18","lackj001","Lackey","John","R","R","ANA","P"
"19","levia001","Levine","Al","L","R","ANA","P"
"20","lukam001","Lukasiewicz","Mark","L","L","ANA","P"
"21","molib001","Molina","Bengie","R","R","ANA","C"
"22","molij001","Molina","Jose","R","R","ANA","C"
"23","nievj002","Nieves","Jose","R","R","ANA","2B"
"24","ochoa001","Ochoa","Alex","R","R","ANA","OF"
"25","ortir002","Ortiz","Ramon","R","R","ANA","P"
"26","palmo001","Palmeiro","Orlando","L","L","ANA","OF"
"27","perct001","Percival","Troy","R","R","ANA","P"
"28","potel001","Pote","Lou","R","R","ANA","P"
"29","ramij001","Ramirez","Julio","R","R","ANA","OF"
"30","rodrf003","Rodriguez","Francisco","R","R","ANA","P"
"31","salmt001","Salmon","Tim","R","R","ANA","OF"
"32","schos001","Schoeneweis","Scott","L","L","ANA","P"
"33","selea001","Sele","Aaron","R","R","ANA","P"
"34","shies002","Shields","Scot","R","R","ANA","P"
"35","spies001","Spiezio","Scott","B","R","ANA","1B"
"36","walld002","Wall","Donne","R","R","ANA","P"
"37","washj001","Washburn","Jarrod","L","L","ANA","P"
"38","webeb001","Weber","Ben","R","R","ANA","P"
"39","wisem001","Wise","Matt","R","R","ANA","P"
"40","woots001","Wooten","Shawn","R","R","ANA","DH"
"41","andeb002","Anderson","Brian","L","L","ARI","P"
"42","barar001","Barajas","Rod","R","R","ARI","C"
"43","batim001","Batista","Miguel","R","R","ARI","P"
"44","bautd001","Bautista","Danny","R","R","ARI","OF"
"45","bellj001","Bell","Jay","R","R","ARI","3B"
"46","cinta001","Cintron","Alex","B","R","ARI","2B"
"47","colbg001","Colbrunn","Greg","R","R","ARI","1B"
"48","counc001","Counsell","Craig","L","R","ARI","3B"
"49","delld001","Dellucci","David","L","L","ARI","OF"
"50","donnc001","Donnels","Chris","L","R","ARI","3B"
"51","durae001","Durazo","Erubiel","L","L","ARI","1B"
"52","fettm001","Fetters","Mike","R","R","ARI","P"
"53","finls001","Finley","Steve","L","L","ARI","OF"
"54","gonzl001","Gonzalez","Luis","L","R","ARI","OF"
"55","gracm001","Grace","Mark","L","L","ARI","1B"
"56","guilj001","Guillen","Jose","R","R","ARI","OF"
"57","hellr001","Helling","Rick","R","R","ARI","P"
"58","johnr005","Johnson","Randy","R","L","ARI","P"
"59","josef001","Jose","Felix","B","R","ARI","OF"
"60","kim-b001","Kim","Byung-Hyun","R","R","ARI","P"
"61","klasd001","Klassen","Danny","R","R","ARI","3B"
"62","koplm001","Koplove","Mike","R","R","ARI","P"
"63","littm001","Little","Mark","R","R","ARI","OF"
"64","mantm001","Mantei","Matt","R","R","ARI","P"
"65","mccrq001","McCracken","Quinton","B","R","ARI","OF"
"66","milld002","Miller","Damian","R","R","ARI","C"
"67","moelc001","Moeller","Chad","R","R","ARI","C"
"68","morgm001","Morgan","Mike","R","R","ARI","P"
"69","myerm001","Myers","Mike","L","L","ARI","P"
"70","orope001","Oropesa","Eddie","L","L","ARI","P"
"71","overl001","Overbay","Lyle","L","L","ARI","PH"
"72","parrj002","Parra","Jose","R","R","ARI","P"
"73","pattj004","Patterson","John","R","R","ARI","P"
"74","prinb001","Prinz","Bret","R","R","ARI","P"
"75","reyna001","Reynoso","Armando","R","R","ARI","P"
"76","sancd001","Sanchez","Duaner","R","R","ARI","P"
"77","schic002","Schilling","Curt","R","R","ARI","P"
"78","spivj001","Spivey","Junior","R","R","ARI","2B"
"79","stott001","Stottlemyre","Todd","L","R","ARI","P"
"80","swing001","Swindell","Greg","R","L","ARI","P"
"81","willm003","Williams","Matt","R","R","ARI","3B"
"82","womat001","Womack","Tony","L","R","ARI","SS"
"83","blanh001","Blanco","Henry","R","R","ATL","C"
"84","bongj001","Bong","Jung","L","L","ATL","P"
"85","bragd001","Bragg","Darren","L","R","ATL","OF"
"86","castv001","Castilla","Vinny","R","R","ATL","3B"
"87","dawlj001","Dawley","Joey","R","R","ATL","P"
"88","derom001","DeRosa","Mark","R","R","ATL","2B"
