"","Player.ID","Last.Name","First.Name","Bats","Pitches","Team","V7"
"1","andeg001","Anderson","Garret","L","L","ANA","OF"
"2","barnl001","Barnes","Larry","L","L","ANA","1B"
"3","borlt001","Borland","Toby","R","R","ANA","P"
"4","burkj003","Burke","Jamie","R","R","ANA","C"
"5","coopb001","Cooper","Brian","R","R","ANA","P"
"6","davaj001","DaVanon","Jeff","B","R","ANA","OF"
"7","ecksd001","Eckstein","David","R","R","ANA","SS"
"8","erstd001","Erstad","Darin","L","L","ANA","OF"
"9","fabrj001","Fabregas","Jorge","L","R","ANA","C"
"10","fernj001","Fernandez","Jose","R","R","ANA","DH"
"11","gil-b001","Gil","Benji","R","R","ANA","SS"
"12","glaut001","Glaus","Troy","R","R","ANA","3B"
"13","grees003","Green","Steve","R","R","ANA","P"
"14","hases001","Hasegawa","Shigetoshi","R","R","ANA","P"
"15","hillg001","Hill","Glenallen","R","R","ANA","DH"
"16","holtm001","Holtz","Mike","L","L","ANA","P"
"17","joynw001","Joyner","Wally","L","L","ANA","1B"
"18","kenna001","Kennedy","Adam","L","R","ANA","2B"
"19","levia001","Levine","Al","L","R","ANA","P"
"20","lukam001","Lukasiewicz","Mark","L","L","ANA","P"
"21","miadb001","Miadich","Bart","R","R","ANA","P"
"22","molib001","Molina","Bengie","R","R","ANA","C"
"23","molij001","Molina","Jose","R","R","ANA","C"
"24","nievj002","Nieves","Jose","R","R","ANA","2B"
"25","ortir002","Ortiz","Ramon","R","R","ANA","P"
"26","palmo001","Palmeiro","Orlando","L","L","ANA","OF"
"27","perct001","Percival","Troy","R","R","ANA","P"
"28","potel001","Pote","Lou","R","R","ANA","P"
"29","rappp001","Rapp","Pat","R","R","ANA","P"
"30","salmt001","Salmon","Tim","R","R","ANA","OF"
"31","schos001","Schoeneweis","Scott","L","L","ANA","P"
"32","shies002","Shields","Scot","R","R","ANA","P"
"33","spies001","Spiezio","Scott","B","R","ANA","1B"
"34","valdi001","Valdez","Ismael","R","R","ANA","P"
