"","Player.ID","Last.Name","First.Name","Bats","Pitches","Team","V7"
"1","andeg001","Anderson","Garret","L","L","ANA","OF"
"2","baugj001","Baughman","Justin","R","R","ANA","2B"
"3","bolif001","Bolick","Frank","B","R","ANA","DH"
"4","cadag001","Cadaret","Greg","L","L","ANA","P"
"5","delur001","DeLucia","Rich","R","R","ANA","P"
"6","dickj001","Dickson","Jason","L","R","ANA","P"
"7","disag001","Disarcina","Gary","R","R","ANA","SS"
"8","edmoj001","Edmonds","Jim","L","L","ANA","OF"
"9","erstd001","Erstad","Darin","L","L","ANA","OF"
"10","fettm001","Fetters","Mike","R","R","ANA","P"
"11","fielc001","Fielder","Cecil","R","R","ANA","1B"
"12","finlc001","Finley","Chuck","L","L","ANA","P"
"13","garcc001","Garcia","Carlos","R","R","ANA","2B"
"14","glaut001","Glaus","Troy","R","R","ANA","3B"
"15","greet003","Greene","Todd","R","R","ANA","OF"
"16","harrp001","Harris","Pep","R","R","ANA","P"
"17","hases001","Hasegawa","Shigetoshi","R","R","ANA","P"
"18","hillk001","Hill","Ken","R","R","ANA","P"
"19","holld001","Hollins","Dave","B","R","ANA","3B"
"20","holtm001","Holtz","Mike","L","L","ANA","P"
"21","jamem001","James","Mike","R","R","ANA","P"
"22","jeffg001","Jefferies","Gregg","B","R","ANA","OF"
"23","johnm001","Johnson","Mark","L","L","ANA","1B"
"24","judej001","Juden","Jeff","R","R","ANA","P"
"25","kreuc001","Kreuter","Chad","B","R","ANA","C"
"26","martn001","Martin","Norberto","R","R","ANA","2B"
"27","mashd001","Mashore","Damon","R","R","ANA","OF"
"28","mcdoj001","McDowell","Jack","R","R","ANA","P"
"29","molib001","Molina","Bengie","R","R","ANA","C"
"30","nevip001","Nevin","Phil","R","R","ANA","C"
"31","obric001","O'Brien","Charlie","R","R","ANA","C"
"32","olivo001","Olivares","Omar","R","R","ANA","P"
"33","palmo001","Palmeiro","Orlando","L","L","ANA","OF"
"34","perct001","Percival","Troy","R","R","ANA","P"
"35","pritc001","Pritchett","Chris","L","R","ANA","1B"
"36","rober001","Robertson","Rich","L","L","ANA","P"
"37","salmt001","Salmon","Tim","R","R","ANA","DH"
"38","shipc001","Shipley","Craig","R","R","ANA","3B"
"39","spars001","Sparks","Steve","R","R","ANA","P"
"40","velar001","Velarde","Randy","R","R","ANA","2B"
"41","walbm001","Walbeck","Matt","B","R","ANA","C"
"42","washj001","Washburn","Jarrod","L","L","ANA","P"
"43","watsa001","Watson","Allen","L","L","ANA","P"
"44","willr002","Williams","Reggie","B","R","ANA","OF"
"45","wilst002","Wilson","Trevor","L","L","ANA","P"
"46","adamj001","Adamson","Joel","L","L","ARI","P"
"47","andeb002","Anderson","Brian","L","L","ARI","P"
"48","bankw001","Banks","Willie","R","R","ARI","P"
"49","batit001","Batista","Tony","R","R","ARI","2B"
"50","bellj001","Bell","Jay","R","R","ARI","SS"
"51","benea001","Benes","Andy","R","R","ARI","P"
